"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_smooth_aux_l","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
525660,525758,8.03025,13092,2.35846,2.85829e+06,0,10000,0,0,115523,63155,0.186188,0.186188,0.017819,0.629318,0.18617,0.629318,0.629318,100823,0.017799,0.501518,101151,0.502823,1.26713,1.26713,0.186341,1.26713,100875,0.085807,101202,0.086067,0,220,220
523670,523759,8.01955,13059.8,2.36481,2.84925e+06,0,10000,0,0,115480,63240.5,0.187249,0.187249,0.0175852,0.629836,0.187233,0.629836,0.629836,96916.4,0.0175575,0.483917,97274.3,0.485427,1.2676,1.2676,0.187388,1.2676,96979.1,0.0828178,97336.3,0.0831098,0,221,221
521873,521953,8.00981,13030.9,2.37059,2.84107e+06,0,10000,0,0,115443,63319.9,0.188212,0.188212,0.0172226,0.63031,0.188198,0.63031,0.63031,92506.1,0.017187,0.463196,92892.7,0.464899,1.26804,1.26804,0.188338,1.26804,92579.1,0.0793972,92965.1,0.0797203,0,222,222
520260,520331,8.00099,13004.9,2.37581,2.83372e+06,0,10000,0,0,115412,63392.9,0.189081,0.189081,0.0167353,0.630739,0.189068,0.630739,0.630739,87650.6,0.0166919,0.439688,88063.5,0.44157,1.26843,1.26843,0.189194,1.26843,87733.1,0.0756068,88145.4,0.0759594,0,223,223
518820,518884,7.99303,12981.8,2.3805,2.82715e+06,0,10000,0,0,115387,63459.6,0.189859,0.189859,0.0161309,0.631127,0.189848,0.631127,0.631127,82420.4,0.0160798,0.4138,82856,0.415838,1.26878,1.26878,0.18996,1.26878,82511.3,0.0715216,82946.4,0.0719015,0,224,224
517544,517600,7.9859,12961.5,2.38469,2.82132e+06,0,10000,0,0,115366,63520.2,0.190552,0.190552,0.01542,0.631476,0.190543,0.631476,0.631476,76895.6,0.0153618,0.385992,77349.7,0.388161,1.26909,1.26909,0.190642,1.26909,76993.4,0.0672286,77447.2,0.0676331,0,225,225
516421,516470,7.97953,12943.6,2.38841,2.81619e+06,0,10000,0,0,115349,63574.9,0.191166,0.191166,0.0146164,0.631787,0.191157,0.631787,0.631787,71163.4,0.0145516,0.356764,71631.1,0.359033,1.26937,1.26937,0.191244,1.26937,71266.7,0.0628244,71734.1,0.0632504,0,226,226
515438,515481,7.97386,12928.2,2.39168,2.81169e+06,0,10000,0,0,115337,63623.9,0.191704,0.191704,0.0137359,0.632063,0.191697,0.632063,0.632063,65314.7,0.0136656,0.326634,65790.6,0.328971,1.26961,1.26961,0.191773,1.26961,65421.8,0.0584132,65897.4,0.0588574,0,227,227
514585,514622,7.96883,12914.9,2.39454,2.80779e+06,0,10000,0,0,115327,63667.6,0.192173,0.192173,0.0127965,0.632308,0.192167,0.632308,0.632308,59441.1,0.0127216,0.296125,59919.2,0.298495,1.26982,1.26982,0.192233,1.26982,59550.1,0.0541044,60028.1,0.0545634,0,228,228
513849,513881,7.96439,12903.7,2.39703,2.80443e+06,0,10000,0,0,115321,63706.4,0.19258,0.19258,0.0118169,0.632523,0.192574,0.632523,0.632523,53630.7,0.0117386,0.265738,54105.2,0.268108,1.26999,1.26999,0.192631,1.26999,53740,0.0500101,54214.5,0.0504808,0,229,229
513219,513247,7.96046,12894.2,2.39918,2.80157e+06,0,10000,0,0,115317,63740.6,0.192929,0.192929,0.0108163,0.632712,0.192925,0.632712,0.632712,47966,0.0107359,0.235944,48431,0.23828,1.27014,1.27014,0.192973,1.27014,48073.8,0.0462429,48538.9,0.0467228,0,230,230
512685,512708,7.957,12886.4,2.40102,2.79915e+06,0,10000,0,0,115316,63770.7,0.193227,0.193227,0.00981326,0.632877,0.193223,0.632877,0.632877,42520.2,0.00973201,0.207166,42970.2,0.209439,1.27025,1.27025,0.193264,1.27025,42625,0.0429149,43075.2,0.0434021,0,231,231
512234,512253,7.95395,12880,2.40258,2.79714e+06,0,10000,0,0,115317,63797.1,0.19348,0.19348,0.00882525,0.633021,0.193476,0.633021,0.633021,37355.7,0.00874447,0.179772,37785.8,0.181956,1.27033,1.27033,0.193511,1.27033,37456.1,0.0401362,37886.5,0.0406299,0,232,232
511856,511873,7.95124,12874.9,2.40391,2.79549e+06,0,10000,0,0,115320,63820.3,0.193692,0.193692,0.00786795,0.633147,0.193689,0.633147,0.633147,32522.5,0.00778886,0.154073,32928.5,0.15615,1.27038,1.27038,0.193718,1.27038,32617.4,0.0380146,33023.8,0.0385151,0,233,233
511543,511557,7.94884,12870.9,2.40502,2.79417e+06,0,10000,0,0,115324,63840.6,0.193868,0.193868,0.00695483,0.633256,0.193866,0.633256,0.633256,28057.4,0.00687852,0.130326,28436,0.132283,1.2704,1.2704,0.19389,1.2704,28145.9,0.0366556,28524.9,0.0371645,0,234,234
511286,511297,7.94669,12867.9,2.40595,2.79315e+06,0,10000,0,0,115330,63858.5,0.194015,0.194015,0.0060968,0.633351,0.194013,0.633351,0.633351,23984.2,0.00602423,0.108739,24332.9,0.110573,1.27039,1.27039,0.194033,1.27039,24065.5,0.0361634,24414.7,0.0366838,0,235,235
511075,511084,7.94476,12865.7,2.40671,2.79239e+06,0,10000,0,0,115337,63874.2,0.194135,0.194135,0.00530213,0.633435,0.194134,0.633435,0.633435,20314.1,0.00523405,0.0894885,20631.3,0.0912052,1.27033,1.27033,0.19415,1.27033,20387.9,0.0366421,20705.7,0.0371785,0,236,236
510905,510912,7.94299,12864.3,2.40734,2.7919e+06,0,10000,0,0,115345,63888.3,0.194233,0.194233,0.00457638,0.633509,0.194232,0.633509,0.633509,17046.9,0.00451336,0.0727402,17332.2,0.074357,1.27024,1.27024,0.194245,1.27024,17113.1,0.0381968,17399,0.0387551,0,237,237
510768,510773,7.94137,12863.5,2.40785,2.79164e+06,0,10000,0,0,115355,63900.8,0.194313,0.194313,0.00392259,0.633575,0.194312,0.633575,0.633575,14172.8,0.003865,0.0586745,14426.3,0.0602212,1.27009,1.27009,0.194322,1.27009,14231.5,0.0409357,14485.5,0.0415231,0,238,238
510659,510663,7.93986,12863.2,2.40824,2.79161e+06,0,10000,0,0,115365,63912.2,0.194377,0.194377,0.00334147,0.633634,0.194376,0.633634,0.633634,11673.8,0.0032895,0.0475211,11896.4,0.0490416,1.26989,1.26989,0.194384,1.26989,11725.2,0.0449713,11948.3,0.0455963,0,239,239
510573,510576,7.93845,12863.3,2.40855,2.79183e+06,0,10000,0,0,115376,63922.6,0.194428,0.194428,0.00283177,0.633687,0.194427,0.633687,0.633687,9525.73,0.00278544,0.0395986,9718.92,0.0411534,1.26962,1.26962,0.194433,1.26962,9570.12,0.0504217,9763.88,0.0510938,0,240,240
510505,510508,7.9371,12863.8,2.40877,2.79228e+06,0,10000,0,0,115387,63932.1,0.194468,0.194468,0.00239058,0.633736,0.194468,0.633736,0.633736,7700,0.00234975,0.0353613,7865.8,0.0370296,1.26928,1.26928,0.194473,1.26928,7737.94,0.0574121,7904.29,0.0581417,0,241,241
510457,510455,7.9359,12864.5,2.40891,2.793e+06,0,10000,0,0,115399,63941.1,0.194501,0.194501,0.00201372,0.633781,0.1945,0.633781,0.633781,6165.46,0.00197815,0.0354526,6306.16,0.0373352,1.26884,1.26884,0.194504,1.26884,6197.53,0.0660747,6338.74,0.066873,0,242,242
510416,510415,7.93468,12865.5,2.40897,2.794e+06,0,10000,0,0,115411,63949.3,0.194526,0.194526,0.00169613,0.633822,0.194525,0.633822,0.633822,4889.81,0.00166548,0.0407643,5007.9,0.0429872,1.2683,1.2683,0.194528,1.2683,4916.62,0.0765492,5035.16,0.0774278,0,243,243
510385,510384,7.93354,12866.5,2.40895,2.79531e+06,0,10000,0,0,115423,63956.8,0.194546,0.194546,0.00143216,0.63386,0.194545,0.63386,0.63386,3840.93,0.00140603,0.0525021,3938.94,0.055219,1.26763,1.26763,0.194547,1.26763,3863.09,0.0889818,3961.51,0.0899528,0,244,244
510361,510360,7.93251,12867.6,2.40885,2.79698e+06,0,10000,0,0,115434,63963.6,0.194561,0.194561,0.00121589,0.633894,0.194561,0.633894,0.633894,2987.84,0.00119385,0.0722539,3068.31,0.07565,1.26682,1.26682,0.194563,1.26682,3005.96,0.103524,3086.79,0.1046,0,245,245
510344,510343,7.93162,12868.6,2.40865,2.79906e+06,0,10000,0,0,115444,63969.5,0.194574,0.194574,0.00104134,0.633924,0.194573,0.633924,0.633924,2301.52,0.00102294,0.10206,2366.87,0.106354,1.26583,1.26583,0.194575,1.26583,2316.17,0.120333,2381.83,0.121525,0,246,246
